Date,Hours,Benz (A),Benz (B),Benz (C),B+V (A),B+V (B),B+V (C)
4/12/2017,0,0,0,0,0,0,0
4/13/2017,23,0.045,0.051,0.052,0.041,0.048,0.045
4/13/2017,26,0.064,0.07,0.074,0.057,0.073,0.063
4/13/2017,29.08333333,0.096,0.107,0.111,0.079,0.107,0.09
4/13/2017,32.5,0.156,0.163,0.181,0.117,0.166,0.157
4/13/2017,35.5,0.219,0.231,0.26,0.195,0.289,0.303
4/14/2017,38.5,0.281,0.293,0.332,0.313,0.474,0.493
4/14/2017,44.83333333,0.437,0.46,0.497,0.735,0.824,0.819
4/14/2017,48,0.523,0.54,0.586,0.829,0.831,0.839
4/14/2017,52,0.611,0.631,0.675,0.844,0.849,0.842
4/14/2017,56,0.761,0.786,0.761,0.864,0.834,0.847
4/15/2017,71.33333333,0.774,0.799,0.77,0.835,0.824,0.824
